,jupyter notebook,jupyter,jupyter-notebook,python,ipython,ipython-notebook
0,0.0,0.0,0.0,0.01053639846743295,0.0,0.0
1,0.0,0.0,0.0,0.02899628252788104,0.0,0.0
2,0.09410548086866598,0.0,0.0,0.18510858324715612,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.018304431599229287,0.0,0.0
6,0.0,0.0,0.0,0.07647058823529412,0.0,0.0
7,0.0759493670886076,0.0,0.0,0.006329113924050633,0.0,0.0
8,0.0,0.0,0.0,0.008645533141210375,0.0,0.0
9,0.0,0.0,0.0,0.062162162162162166,0.0,0.0
10,0.0,0.0,0.0,0.19922380336351875,0.0,0.0
11,0.0,0.0,0.0,0.4037735849056604,0.0,0.0
12,0.0,0.0,0.0,0.005751848808545604,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0074836295603367626,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.03389830508474576,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.27631578947368424,0.0,0.0
20,0.0,0.0,0.0,0.02576687116564417,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.4709110867178925,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.025,0.0,0.0,0.15,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.021359223300970873,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.010054844606946984,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.03218727139722019,0.0,0.0
35,0.0,0.0,0.0,0.226027397260274,0.0,0.0
36,0.0,0.0,0.0,0.09826589595375723,0.0,0.0
37,0.0,0.0,0.0,0.3216957605985037,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.018444266238973536,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.128698224852071,0.0,0.0
